marketId,marketName,outcomeName,bet9ja,livescorebet
545,2nd half - Double chance & both teams to score,Home/Draw & Yes,S_DCGGNG2T,
546,Double chance & both teams to score,Home/Draw & Yes,S_DCGGNG,
547,Double chance & O/U,Home/Draw & Under 1.5,S_DCOU,
548,Multigoals,1-2,,
549,Home multigoals,1-2,,
550,Away multigoals,1-2,,
551,Multiscores,"1:0, 2:0 or 3:0",,
552,1st half - Multigoals,1-2,,
553,2nd half - Multigoals,1-2,,
565,15 minutes - Corner 1x2 from {from} to {to},Home,,
566,15 minutes - {!cornernr} corner from {from} to {to},Home,,
568,15 minutes - Corners O/U from {from} to {to} ,Over 0.5,,
569,15 minutes - Home corners O/U from {from} to {to} ,Over 0.5,,
570,15 minutes - Away corners O/U from {from} to {to} ,Over 0.5,,
571,15 minutes - Odd/Even corners from {from} to {to},Odd,,
572,10 minutes - Corner 1x2 from {from} to {to},Home,,
573,10 minutes - {!cornernr} corner from {from} to {to},Home,,
575,10 minutes - Corners O/U from {from} to {to} ,Over 0.5,,
576,10 minutes - Home O/U corners from {from} to {to},Over 0.5,,
577,10 minutes - Away O/U corners from {from} to {to},Over 0.5,,
578,10 minutes - Odd/Even corners from {from} to {to},Odd,,
579,5 minutes - Corner 1x2 from {from} to {to},Home,,
580,5 minutes - {!cornernr} corner from {from} to {to},Home,,
582,5 minutes - Corners O/U from {from} to {to},Over 0.5,,
583,5 minutes - Home corners O/U from {from} to {to},Over 0.5,,
584,5 minutes - Away corners O/U from {from} to {to},Over 0.5,,
585,5 minutes - Odd/Even corners from {from} to {to},Odd,,
601,Race to {cornernr} corners,Home,,
602,1st half - Race to {cornernr} corners,Home,,
770,Player Assists (incl. Overtime),"Bissouma, Yves 1+",,
775,Player Goals (incl. Overtime),"Bissouma, Yves 1+",,
776,Player Shots (incl. Overtime),"Bissouma, Yves 1+",,
777,Player Shots On Goal (incl. Overtime),"Bissouma, Yves 1+",,
780,Player Tackles (incl. Overtime),"Bissouma, Yves 2+",,
818,Halftime/fulltime & total,Home/Home & Under 1.5,,
819,Halftime/fulltime & 1st half total,Draw/Home & Under 0.5,,
820,Halftime/fulltime & exact goals,Draw/Draw & 0,,
854,Home or over {total},Yes,,
855,Home or under {total},Yes,,
856,Draw or over {total},Yes,,
857,Draw or under {total},Yes,,
858,Away or over {total},Yes,,
859,Away or under {total},Yes,,
860,Home or both teams to score,Yes,,
861,Draw or both teams to score,Yes,,
862,Away or both teams to score,Yes,,
863,Home or any clean sheet,Yes,,
864,Draw or any clean sheet,Yes,,
865,Away or any clean sheet,Yes,,
888,Anytime goalscorer & 1x2,Vitinha & Home,,
889,Anytime goalscorer & correct score,Vitinha & 1:0,,
890,{!goalnr} goalscorer & correct score,"Bellegarde, Jean-Ricner & 1:0",,
891,{!goalnr} goalscorer & 1x2,Vitinha & Home,,
892,Nth goalscorer,no goal,,
898,Player to score 2+,"Reyes, Luis",,
899,Player to score 3+,"Reyes, Luis",,
1191,Player To Be Carded (incl. Overtime),"Bissouma, Yves 1+",,
1000021,Excluded Goals,0,,
1000023,Excluded Goals-Home,0,,
1000024,Excluded Goals-Away,0,,
2000021,Goals Range,0,,
2000023,Goals Range-Home,0,,
2000024,Goals Range-Away,0,,
3000001,Multi Correct score(1),1:0 or 2:0 or 2:1,,
3000002,Multi Correct score(2),0:0 or 1:1 or 1:0 or 0:1,,
3000003,1x2 & Multi Goal,1-2 Goals & Home,,
3000004,Double Chance & Multi Goal,1-2 Goals & 1X,,
3000005,1x2 Or Goal/No Goal Or Over/Under 2.5,1 Or GG Or Over (2.5),,
3000006,1x2 & Goal/No Goal & O/U 1.5,Home & GG & Under 1.5,,
3000007,1x2 & Goal/No Goal & O/U 2.5,Home & GG & Under 2.5,,
